[L_a75_1500s1] nano-ema params=2,591,616
[MuonW] muon: ['b0.Wm', 'b0.fc1', 'b0.fc2', 'b1.Wm']... (12 шт), adam: 28 шт
[L_a75_1500s1] sampled softmax: K=512 негативов/шаг, unigram-предложение, logQ-коррекция; вал — полный softmax
{"step": 0, "train_loss": 9.0044, "val_loss": 8.9911, "val_ppl": 8031.65, "wall": 2.8, "tok_s": 832.5, "tokens": 2304}
{"step": 100, "train_loss": 5.7043, "val_loss": 5.5982, "val_ppl": 269.95, "wall": 69.2, "tok_s": 3364.9, "tokens": 232704}
{"step": 200, "train_loss": 5.1602, "val_loss": 5.1674, "val_ppl": 175.45, "wall": 550.4, "tok_s": 841.4, "tokens": 463104}
{"step": 300, "train_loss": 5.0929, "val_loss": 5.0196, "val_ppl": 151.35, "wall": 616.4, "tok_s": 1125.1, "tokens": 693504}
{"step": 400, "train_loss": 5.0391, "val_loss": 4.9368, "val_ppl": 139.33, "wall": 683.9, "tok_s": 1350.9, "tokens": 923904}
{"step": 500, "train_loss": 4.9498, "val_loss": 4.8746, "val_ppl": 130.92, "wall": 752.8, "tok_s": 1533.3, "tokens": 1154304}
{"step": 600, "train_loss": 4.7911, "val_loss": 4.837, "val_ppl": 126.09, "wall": 820.4, "tok_s": 1687.9, "tokens": 1384704}
{"step": 700, "train_loss": 4.7381, "val_loss": 4.7979, "val_ppl": 121.25, "wall": 888.1, "tok_s": 1818.5, "tokens": 1615104}
{"step": 800, "train_loss": 4.7133, "val_loss": 4.7665, "val_ppl": 117.51, "wall": 965.0, "tok_s": 1912.5, "tokens": 1845504}
{"step": 900, "train_loss": 4.6621, "val_loss": 4.7527, "val_ppl": 115.89, "wall": 1087.3, "tok_s": 1909.3, "tokens": 2075904}
{"step": 1000, "train_loss": 4.7191, "val_loss": 4.7378, "val_ppl": 114.18, "wall": 1744.6, "tok_s": 1322.0, "tokens": 2306304}
