[L_mu05_1500s1] nano-ema params=2,591,616
[MuonW] muon: ['b0.Wm', 'b0.fc1', 'b0.fc2', 'b1.Wm']... (12 шт), adam: 28 шт
[L_mu05_1500s1] sampled softmax: K=512 негативов/шаг, unigram-предложение, logQ-коррекция; вал — полный softmax
{"step": 0, "train_loss": 8.9585, "val_loss": 8.9535, "val_ppl": 7734.56, "wall": 2.6, "tok_s": 900.1, "tokens": 2304}
{"step": 100, "train_loss": 5.7052, "val_loss": 5.6098, "val_ppl": 273.08, "wall": 63.1, "tok_s": 3688.3, "tokens": 232704}
{"step": 200, "train_loss": 5.127, "val_loss": 5.1994, "val_ppl": 181.16, "wall": 124.4, "tok_s": 3723.7, "tokens": 463104}
{"step": 300, "train_loss": 5.1553, "val_loss": 5.055, "val_ppl": 156.8, "wall": 184.5, "tok_s": 3758.1, "tokens": 693504}
{"step": 400, "train_loss": 5.0751, "val_loss": 4.9825, "val_ppl": 145.84, "wall": 247.3, "tok_s": 3735.5, "tokens": 923904}
{"step": 500, "train_loss": 4.9971, "val_loss": 4.9204, "val_ppl": 137.06, "wall": 307.6, "tok_s": 3752.7, "tokens": 1154304}
{"step": 600, "train_loss": 4.8116, "val_loss": 4.884, "val_ppl": 132.15, "wall": 367.1, "tok_s": 3772.5, "tokens": 1384704}
{"step": 700, "train_loss": 4.7989, "val_loss": 4.849, "val_ppl": 127.61, "wall": 425.5, "tok_s": 3795.7, "tokens": 1615104}
{"step": 800, "train_loss": 4.77, "val_loss": 4.8141, "val_ppl": 123.24, "wall": 483.8, "tok_s": 3814.8, "tokens": 1845504}
{"step": 900, "train_loss": 4.7176, "val_loss": 4.7969, "val_ppl": 121.14, "wall": 542.8, "tok_s": 3824.7, "tokens": 2075904}
{"step": 1000, "train_loss": 4.818, "val_loss": 4.7816, "val_ppl": 119.29, "wall": 601.9, "tok_s": 3831.5, "tokens": 2306304}
{"step": 1100, "train_loss": 4.7674, "val_loss": 4.7722, "val_ppl": 118.18, "wall": 661.5, "tok_s": 3834.6, "tokens": 2536704}
{"step": 1200, "train_loss": 4.6955, "val_loss": 4.7632, "val_ppl": 117.12, "wall": 721.2, "tok_s": 3836.7, "tokens": 2767104}
{"step": 1300, "train_loss": 4.6146, "val_loss": 4.7479, "val_ppl": 115.34, "wall": 780.3, "tok_s": 3841.5, "tokens": 2997504}
{"step": 1400, "train_loss": 4.6734, "val_loss": 4.7536, "val_ppl": 116.0, "wall": 836.7, "tok_s": 3857.9, "tokens": 3227904}
{"step": 1499, "train_loss": 4.6884, "val_loss": 4.7463, "val_ppl": 115.16, "wall": 890.8, "tok_s": 3879.8, "tokens": 3456000}
SUMMARY {"tag": "L_mu05_1500s1", "kind": "ema", "params": 2591616, "tokens": 3456000, "wall_s": 890.8, "tok_s": 3879.7, "final_val_loss": 4.7463, "final_val_ppl": 115.16}
