[L_mussa1500] nano-ema params=2,591,616
[MuonW] muon: ['b0.Wm', 'b0.fc1', 'b0.fc2', 'b1.Wm']... (12 шт), adam: 28 шт
[L_mussa1500] sampled softmax: K=512 негативов/шаг, unigram-предложение, logQ-коррекция; вал — полный softmax
{"step": 0, "train_loss": 8.8215, "val_loss": 8.9766, "val_ppl": 7915.46, "wall": 2.3, "tok_s": 1007.3, "tokens": 2304}
{"step": 50, "train_loss": 7.4122, "val_loss": 7.2395, "val_ppl": 1393.46, "wall": 27.7, "tok_s": 4245.1, "tokens": 117504}
{"step": 100, "train_loss": 5.8087, "val_loss": 5.6504, "val_ppl": 284.41, "wall": 53.4, "tok_s": 4355.1, "tokens": 232704}
{"step": 150, "train_loss": 5.3905, "val_loss": 5.3416, "val_ppl": 208.85, "wall": 85.9, "tok_s": 4048.1, "tokens": 347904}
{"step": 200, "train_loss": 5.4206, "val_loss": 5.2, "val_ppl": 181.26, "wall": 159.4, "tok_s": 2905.7, "tokens": 463104}
{"step": 250, "train_loss": 5.0992, "val_loss": 5.1177, "val_ppl": 166.95, "wall": 198.5, "tok_s": 2913.2, "tokens": 578304}
{"step": 300, "train_loss": 5.0997, "val_loss": 5.0554, "val_ppl": 156.87, "wall": 225.7, "tok_s": 3072.4, "tokens": 693504}
{"step": 350, "train_loss": 4.9636, "val_loss": 4.9959, "val_ppl": 147.81, "wall": 308.0, "tok_s": 2625.3, "tokens": 808704}
{"step": 400, "train_loss": 4.9161, "val_loss": 4.9576, "val_ppl": 142.25, "wall": 360.3, "tok_s": 2564.5, "tokens": 923904}
{"step": 450, "train_loss": 5.0035, "val_loss": 4.9345, "val_ppl": 139.01, "wall": 395.3, "tok_s": 2628.8, "tokens": 1039104}
{"step": 500, "train_loss": 4.8604, "val_loss": 4.9031, "val_ppl": 134.71, "wall": 468.3, "tok_s": 2465.1, "tokens": 1154304}
{"step": 550, "train_loss": 4.9221, "val_loss": 4.8823, "val_ppl": 131.93, "wall": 508.9, "tok_s": 2494.7, "tokens": 1269504}
{"step": 600, "train_loss": 4.8514, "val_loss": 4.8592, "val_ppl": 128.92, "wall": 536.9, "tok_s": 2578.9, "tokens": 1384704}
{"step": 650, "train_loss": 4.6898, "val_loss": 4.8401, "val_ppl": 126.48, "wall": 606.2, "tok_s": 2474.1, "tokens": 1499904}
{"step": 700, "train_loss": 4.8699, "val_loss": 4.8214, "val_ppl": 124.14, "wall": 680.0, "tok_s": 2375.1, "tokens": 1615104}
{"step": 750, "train_loss": 4.7838, "val_loss": 4.8126, "val_ppl": 123.06, "wall": 766.9, "tok_s": 2256.3, "tokens": 1730304}
{"step": 800, "train_loss": 4.777, "val_loss": 4.794, "val_ppl": 120.79, "wall": 806.0, "tok_s": 2289.6, "tokens": 1845504}
{"step": 850, "train_loss": 4.7588, "val_loss": 4.7796, "val_ppl": 119.06, "wall": 832.9, "tok_s": 2354.0, "tokens": 1960704}
{"step": 900, "train_loss": 4.6131, "val_loss": 4.7684, "val_ppl": 117.73, "wall": 886.9, "tok_s": 2340.8, "tokens": 2075904}
{"step": 950, "train_loss": 4.8241, "val_loss": 4.7676, "val_ppl": 117.63, "wall": 965.8, "tok_s": 2268.7, "tokens": 2191104}
{"step": 1000, "train_loss": 4.7141, "val_loss": 4.7559, "val_ppl": 116.27, "wall": 1043.1, "tok_s": 2210.9, "tokens": 2306304}
{"step": 1050, "train_loss": 4.6475, "val_loss": 4.7522, "val_ppl": 115.84, "wall": 1122.7, "tok_s": 2156.8, "tokens": 2421504}
{"step": 1100, "train_loss": 4.8019, "val_loss": 4.7431, "val_ppl": 114.79, "wall": 1176.9, "tok_s": 2155.4, "tokens": 2536704}
{"step": 1150, "train_loss": 4.6454, "val_loss": 4.7398, "val_ppl": 114.41, "wall": 1204.9, "tok_s": 2200.9, "tokens": 2651904}
{"step": 1200, "train_loss": 4.6864, "val_loss": 4.7369, "val_ppl": 114.08, "wall": 1232.3, "tok_s": 2245.4, "tokens": 2767104}
{"step": 1250, "train_loss": 4.5483, "val_loss": 4.7298, "val_ppl": 113.27, "wall": 1260.2, "tok_s": 2287.2, "tokens": 2882304}
{"step": 1300, "train_loss": 4.8064, "val_loss": 4.724, "val_ppl": 112.61, "wall": 1287.3, "tok_s": 2328.5, "tokens": 2997504}
{"step": 1350, "train_loss": 4.4861, "val_loss": 4.7202, "val_ppl": 112.19, "wall": 1314.0, "tok_s": 2368.9, "tokens": 3112704}
{"step": 1400, "train_loss": 4.5449, "val_loss": 4.7192, "val_ppl": 112.08, "wall": 1339.8, "tok_s": 2409.3, "tokens": 3227904}
{"step": 1450, "train_loss": 4.5804, "val_loss": 4.7268, "val_ppl": 112.93, "wall": 1366.1, "tok_s": 2447.2, "tokens": 3343104}
{"step": 1499, "train_loss": 4.5675, "val_loss": 4.7327, "val_ppl": 113.6, "wall": 1391.4, "tok_s": 2483.8, "tokens": 3456000}
SUMMARY {"tag": "L_mussa1500", "kind": "ema", "params": 2591616, "tokens": 3456000, "wall_s": 1391.4, "tok_s": 2483.7, "final_val_loss": 4.7327, "final_val_ppl": 113.6}
