[champ3] nano-ema params=2,592,195
[MuonW] muon: ['b0.Wm', 'b0.fc1', 'b0.fc2', 'b1.Wm']... (12 шт), adam: 34 шт
{"step": 0, "train_loss": 9.0304, "val_loss": 8.9771, "val_ppl": 7919.48, "wall": 1.9, "tok_s": 1182.0, "tokens": 2304}
{"step": 200, "train_loss": 5.154, "val_loss": 5.1547, "val_ppl": 173.25, "wall": 98.1, "tok_s": 4722.4, "tokens": 463104}
{"step": 400, "train_loss": 4.8568, "val_loss": 5.0021, "val_ppl": 148.72, "wall": 317.7, "tok_s": 2907.7, "tokens": 923904}
{"step": 600, "train_loss": 4.808, "val_loss": 4.9248, "val_ppl": 137.66, "wall": 1122.4, "tok_s": 1233.7, "tokens": 1384704}
{"step": 800, "train_loss": 4.9095, "val_loss": 4.8977, "val_ppl": 133.98, "wall": 1225.9, "tok_s": 1505.4, "tokens": 1845504}
{"step": 1000, "train_loss": 4.77, "val_loss": 4.8687, "val_ppl": 130.15, "wall": 1328.8, "tok_s": 1735.7, "tokens": 2306304}
{"step": 1200, "train_loss": 4.6026, "val_loss": 4.8476, "val_ppl": 127.44, "wall": 1428.2, "tok_s": 1937.5, "tokens": 2767104}
{"step": 1400, "train_loss": 4.5804, "val_loss": 4.8271, "val_ppl": 124.85, "wall": 1529.1, "tok_s": 2111.0, "tokens": 3227904}
{"step": 1600, "train_loss": 4.6275, "val_loss": 4.8224, "val_ppl": 124.26, "wall": 1631.8, "tok_s": 2260.5, "tokens": 3688704}
{"step": 1800, "train_loss": 4.5403, "val_loss": 4.8049, "val_ppl": 122.11, "wall": 1733.4, "tok_s": 2393.9, "tokens": 4149504}
{"step": 1999, "train_loss": 4.4654, "val_loss": 4.8067, "val_ppl": 122.33, "wall": 1831.3, "tok_s": 2516.3, "tokens": 4608000}
SUMMARY {"tag": "champ3", "kind": "ema", "params": 2592195, "tokens": 4608000, "wall_s": 1831.3, "tok_s": 2516.2, "final_val_loss": 4.8067, "final_val_ppl": 122.33}
